"EXERCICIO FINANCEIRO","SKU REF.","SKU","ORGAO ORCAMENTARIO","TITULO","FONTE","R$ PARA INVESTIMENTO"
2016,"LOA",62000,"SECRETARIA DE AVIACAO CIVIL","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2016, Anexo IV",816535162
2016,"LOA",68000,"SECRETARIA DE PORTOS","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2016, Anexo IV",457567340
2017,"LOA",22000,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2017, Anexo IV",40153469
2017,"LOA",24000,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2017, Anexo IV",1125804750
2017,"LOA",25000,"MINISTERIO DA FAZENDA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2017, Anexo IV",5973910382
2017,"LOA",32000,"MINISTERIO DE MINAS E ENERGIA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2017, Anexo IV",81329357174
2017,"LOA",36000,"MINISTERIO DA SAUDE","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2017, Anexo IV",243534000
2017,"LOA",39000,"MINISTERIO DOS TRANSPORTES, PORTOS E AVIACAO CIVIL","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2017, Anexo IV",1158799511
2017,"LOA",47000,"MINISTERIO DO PLANEJAMENTO, DESENVOLVIMENTO E GESTAO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2017, Anexo IV",148567570
2017,"LOA",52000,"MINISTERIO DA DEFESA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2017, Anexo IV",6941315
2018,"LOA",22000,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2018, Anexo IV",59042773
2018,"LOA",24000,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2018, Anexo IV",1048651050
2018,"LOA",25000,"MINISTERIO DA FAZENDA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2018, Anexo IV",6333256135
2018,"LOA",32000,"MINISTERIO DE MINAS E ENERGIA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2018, Anexo IV",59907974324
2018,"LOA",36000,"MINISTERIO DA SAUDE","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2018, Anexo IV",329590154
2018,"LOA",39000,"MINISTERIO DOS TRANSPORTES, PORTOS E AVIACAO CIVIL","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2018, Anexo IV",1012392144
2018,"LOA",47000,"MINISTERIO DO PLANEJAMENTO, DESENVOLVIMENTO E GESTAO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2018, Anexo IV",111709615
2018,"LOA",52000,"MINISTERIO DA DEFESA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2018, Anexo IV",6681642
2019,"LOA",22000,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2019, Anexo IV",61935700
2019,"LOA",24000,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2019, Anexo IV",2032651894
2019,"LOA",25000,"MINISTERIO DA FAZENDA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2019, Anexo IV",6160855158
2019,"LOA",32000,"MINISTERIO DE MINAS E ENERGIA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2019, Anexo IV",109024627902
2019,"LOA",36000,"MINISTERIO DA SAUDE","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2019, Anexo IV",485982560
2019,"LOA",39000,"MINISTERIO DOS TRANSPORTES, PORTOS E AVIACAO CIVIL","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2019, Anexo IV",980563832
2019,"LOA",47000,"MINISTERIO DO PLANEJAMENTO, DESENVOLVIMENTO E GESTAO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2019, Anexo IV",67950950
2019,"LOA",52000,"MINISTERIO DA DEFESA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2019, Anexo IV",1200150000
2020,"LOA",22000,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2020, Anexo IV",14260802
2020,"LOA",24000,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2020, Anexo IV",868081922
2020,"LOA",25000,"MINISTERIO DA ECONOMIA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2020, Anexo IV",5879107185
2020,"LOA",32000,"MINISTERIO DE MINAS E ENERGIA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2020, Anexo IV",112400931579
2020,"LOA",36000,"MINISTERIO DA SAUDE","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2020, Anexo IV",190594202
2020,"LOA",39000,"MINISTERIO DA INFRAESTRUTURA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2020, Anexo IV",667639234
2020,"LOA",52000,"MINISTERIO DA DEFESA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2020, Anexo IV",1401340925
2021,"LOA",22000,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2021, Anexo IV",1750000
2021,"LOA",24000,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2021, Anexo IV",7016831
2021,"LOA",25000,"MINISTERIO DA ECONOMIA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2021, Anexo IV",7577659538
2021,"LOA",32000,"MINISTERIO DE MINAS E ENERGIA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2021, Anexo IV",133136688539
2021,"LOA",36000,"MINISTERIO DA SAUDE","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2021, Anexo IV",235352955
2021,"LOA",39000,"MINISTERIO DA INFRAESTRUTURA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2021, Anexo IV",1181202955
2021,"LOA",41000,"MINISTERIO DAS COMUNICACOES","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2021, Anexo IV",639431030
2021,"LOA",52000,"MINISTERIO DA DEFESA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2021, Anexo IV",1642221125
2022,"LOA",22000,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2022, Anexo IV",1750000
2022,"LOA",24000,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2022, Anexo IV",12959600
2022,"LOA",25000,"MINISTERIO DA ECONOMIA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2022, Anexo IV",6690042736
2022,"LOA",32000,"MINISTERIO DE MINAS E ENERGIA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2022, Anexo IV",85808411518
2022,"LOA",36000,"MINISTERIO DA SAUDE","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2022, Anexo IV",356886060
2022,"LOA",39000,"MINISTERIO DA INFRAESTRUTURA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2022, Anexo IV",792885567
2022,"LOA",41000,"MINISTERIO DAS COMUNICACOES","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2022, Anexo IV",744511186
2022,"LOA",52000,"MINISTERIO DA DEFESA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2022, Anexo IV",2103949185
2023,"LOA",22000,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2023, Anexo IV",2960000
2023,"LOA",24000,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2023, Anexo IV",11642050
2023,"LOA",25000,"MINISTERIO DA ECONOMIA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2023, Anexo IV",9739438476
2023,"LOA",32000,"MINISTERIO DE MINAS E ENERGIA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2023, Anexo IV",127039944169
2023,"LOA",36000,"MINISTERIO DA SAUDE","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2023, Anexo IV",787143375
2023,"LOA",39000,"MINISTERIO DA INFRAESTRUTURA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2023, Anexo IV",1320525677
2023,"LOA",41000,"MINISTERIO DAS COMUNICACOES","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2023, Anexo IV",1235273956
2023,"LOA",52000,"MINISTERIO DA DEFESA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2023, Anexo IV",3401790120
